location,age,population
01,0,56901
01,1,58290
01,2,59073
01,3,59799
01,4,60294
01,5,59568
01,6,58599
01,7,59537
01,8,60023
01,9,60241
01,10,60897
01,11,63083
01,12,62906
01,13,61883
01,14,61729
01,15,61740
01,16,61799
01,17,61944
01,18,63534
01,19,64598
01,20,63938
01,21,64590
01,22,64610
01,23,64459
01,24,64495
01,25,65570
01,26,65727
01,27,67597
01,28,69970
01,29,69274
01,30,65333
01,31,61947
01,32,60462
01,33,60114
01,34,61235
01,35,59402
01,36,60337
01,37,60781
01,38,61053
01,39,62572
01,40,58490
01,41,58311
01,42,58158
01,43,55776
01,44,58426
01,45,57225
01,46,59072
01,47,62141
01,48,65617
01,49,64896
01,50,60852
01,51,59593
01,52,59860
01,53,61377
01,54,65983
01,55,66948
01,56,66726
01,57,67091
01,58,67326
01,59,68229
01,60,65609
01,61,65214
01,62,65365
01,63,63117
01,64,62042
01,65,59584
01,66,56766
01,67,54694
01,68,52697
01,69,51707
01,70,50567
01,71,49884
01,72,51612
01,73,37091
01,74,36845
01,75,35441
01,76,36173
01,77,30575
01,78,27572
01,79,26053
01,80,23977
01,81,22580
01,82,19594
01,83,18222
01,84,16660
01,85,91543
02,0,9978
02,1,10012
02,2,10186
02,3,10509
02,4,10395
02,5,10414
02,6,10303
02,7,10286
02,8,10436
02,9,10157
02,10,9976
02,11,10016
02,12,9887
02,13,9509
02,14,9678
02,15,9488
02,16,9410
02,17,9343
02,18,8604
02,19,8265
02,20,9373
02,21,9951
02,22,10376
02,23,10468
02,24,11115
02,25,11494
02,26,11727
02,27,12390
02,28,12426
02,29,12390
02,30,11687
02,31,11521
02,32,11112
02,33,11427
02,34,11414
02,35,10837
02,36,10990
02,37,10421
02,38,10116
02,39,10057
02,40,9166
02,41,8857
02,42,8747
02,43,8146
02,44,8428
02,45,7969
02,46,8077
02,47,8345
02,48,8774
02,49,9138
02,50,8472
02,51,8234
02,52,8365
02,53,8616
02,54,9140
02,55,9436
02,56,9503
02,57,9645
02,58,9740
02,59,9898
02,60,9374
02,61,9168
02,62,9161
02,63,8614
02,64,8800
02,65,8210
02,66,7734
02,67,7220
02,68,6655
02,69,6442
02,70,5978
02,71,5621
